expense_id,business_id,expense_name,expense_category,amount,expense_date,recurring,frequency,supplier_name,importance
1,1,Electricity Payment,electricity,41093.51,2025-05-06,False,,Lanka-Hayer,high
2,17,Internet Payment,internet,30771.65,2024-11-06,False,,"Sinha, Basak and Patel",critical
3,23,Electricity Payment,electricity,22078.23,2026-01-21,True,weekly,Gill-Luthra,critical
4,32,Raw materials Payment,raw materials,661073.12,2026-03-17,False,,Mall Inc,critical
5,17,Transportation Payment,transportation,45938.19,2026-02-08,False,,Dewan-Dewan,high
6,35,Rent Payment,rent,409561.55,2024-06-21,False,,Zachariah PLC,medium
7,5,Fuel Payment,fuel,49425.89,2026-02-03,False,,Dutta-Pradhan,medium
8,8,Transportation Payment,transportation,3269.01,2025-02-08,True,weekly,"Dewan, Mall and Natarajan",critical
9,30,Maintenance Payment,maintenance,15152.42,2026-03-03,False,,Kohli-Mody,medium
10,35,Transportation Payment,transportation,1138.51,2025-07-09,False,,Dayal-Shetty,medium
11,25,Tax Payment,tax,2368.65,2025-12-13,False,,Sura Inc,medium
12,30,Internet Payment,internet,13979.86,2024-10-08,False,,"Loyal, Dewan and Balan",critical
13,10,Fuel Payment,fuel,13873.19,2024-06-06,True,monthly,"Sekhon, Kade and Mand",medium
14,33,Software Payment,software,4614.3,2024-05-08,False,,Kanda-Parsa,medium
15,45,Warehouse Payment,warehouse,166150.76,2025-06-22,True,weekly,Jaggi Ltd,critical
16,3,Employee welfare Payment,employee welfare,52865.41,2025-03-03,False,,Hegde-Divan,critical
17,39,Maintenance Payment,maintenance,20176.33,2024-10-08,True,daily,"Chad, Anne and Dash",medium
18,39,Tax Payment,tax,46190.08,2026-01-20,True,weekly,Mishra and Sons,high
19,24,Fuel Payment,fuel,34899.27,2026-02-02,True,quarterly,Cherian-Chandran,critical
20,45,Employee welfare Payment,employee welfare,28163.33,2025-11-09,False,,Narayan-Keer,high
21,18,Software Payment,software,49486.74,2025-10-01,False,,"Chokshi, Bains and Khanna",low
22,40,Rent Payment,rent,132216.21,2024-12-09,False,,"Basu, Nadkarni and Swaminathan",medium
23,21,Tax Payment,tax,47372.46,2025-08-08,True,monthly,Dasgupta-Mander,low
