invoice_id,business_id,customer_id,invoice_number,customer_name,invoice_amount,invoice_date,due_date,actual_payment_date,delay_days,invoice_status,customer_location,customer_type,payment_terms,customer_risk_score,invoice_category
1,35,231,INV-10001,Ghose-Sarin,632073.11,2025-04-22,2025-05-07,,0,pending,Bihar Sharif,retailer,Net 15,medium,retail order
2,43,312,INV-10002,Raju Group,922099.95,2025-05-24,2025-06-08,2025-05-27,0,paid,Visakhapatnam,corporate,Net 15,low,wholesale order
3,33,135,INV-10003,"Ramakrishnan, Kalla and Batta",648987.11,2026-02-05,2026-03-22,2026-03-18,0,paid,Dharmavaram,wholesaler,Net 45,low,retail order
4,23,286,INV-10004,Sagar-Sama,445062.16,2025-04-28,2025-06-27,,287,overdue,Asansol,retailer,Net 60,high,wholesale order
5,35,117,INV-10005,Bajwa Group,644832.9,2025-11-05,2025-12-20,,111,overdue,Vijayawada,local shop,Net 45,high,export order
6,7,424,INV-10006,Chacko-Chandra,196767.56,2025-10-11,2025-12-10,,121,overdue,Kanpur,corporate,Net 60,medium,retail order
7,27,451,INV-10007,"Dar, Prashad and Raval",248885.85,2025-08-12,2025-09-26,2025-09-10,0,paid,Bhimavaram,wholesaler,Net 45,low,raw materials
8,1,425,INV-10008,Nath-Kakar,960005.6,2026-02-24,2026-04-25,2026-04-18,0,paid,Bulandshahr,wholesaler,Net 60,low,wholesale order
9,30,314,INV-10009,Mani-Walia,838878.5,2025-09-20,2025-11-19,,0,pending,Dindigul,corporate,Net 60,low,retail order
10,29,306,INV-10010,Desai Inc,140585.33,2026-01-31,2026-03-02,,0,pending,Madhyamgram,local shop,Net 30,high,retail order
11,2,65,INV-10011,"Prabhu, Divan and Chacko",151707.15,2025-08-01,2025-09-30,2025-10-16,16,paid,Kottayam,corporate,Net 60,medium,raw materials
12,40,57,INV-10012,Zacharia Inc,506757.28,2026-01-28,2026-02-27,2026-03-08,9,paid,Khora ,local shop,Net 30,high,retail order
13,13,361,INV-10013,"Srinivasan, Sarma and Pradhan",183737.43,2025-04-11,2025-05-26,,319,overdue,Madhyamgram,local shop,Net 45,low,raw materials
14,16,270,INV-10014,"Kothari, Kumar and Doctor",665169.46,2025-10-22,2025-12-21,2025-11-19,0,paid,Srinagar,local shop,Net 60,low,retail order
15,17,327,INV-10015,Konda LLC,374380.77,2026-01-18,2026-03-19,2026-02-08,0,paid,Parbhani,retailer,Net 60,medium,raw materials
16,39,144,INV-10016,Ravi-Sule,159032.14,2026-04-02,2026-06-01,,16,overdue,Meerut,corporate,Net 60,high,raw materials
17,7,70,INV-10017,Pandit-Ramanathan,18197.67,2025-09-21,2025-10-21,2025-10-18,0,paid,Indore,retailer,Net 30,low,wholesale order
18,6,257,INV-10018,"Rao, Kari and Luthra",977077.28,2025-07-31,2025-09-29,2025-08-20,0,paid,Nizamabad,wholesaler,Net 60,low,raw materials
19,12,372,INV-10019,Saxena-Sastry,973155.35,2025-05-13,2025-06-12,,302,overdue,Arrah,retailer,Net 30,high,raw materials
20,9,16,INV-10020,"Oak, Patla and Dhillon",991200.38,2025-04-27,2025-05-12,2025-06-13,32,paid,Anantapur,distributor,Net 15,high,retail order
21,25,11,INV-10021,"Mahajan, Vala and Sura",411126.96,2025-08-10,2025-10-09,,183,overdue,Siliguri,retailer,Net 60,medium,retail order
22,25,32,INV-10022,Tripathi Inc,906089.55,2025-10-25,2025-11-09,,152,overdue,Tadipatri,corporate,Net 15,low,retail order
