payroll_id,business_id,payroll_date,employee_count,salary_amount,department,overtime_cost,bonus_amount
1,31,2025-07-01,31,734282.52,warehouse,101851.88,0.0
2,7,2025-04-01,425,14286797.15,support,0.0,0.0
3,22,2025-02-01,108,3306677.4,warehouse,262335.71,0.0
4,22,2025-11-01,108,2684748.45,HR,0.0,494021.19
5,36,2024-07-01,275,7224885.07,sales,0.0,0.0
6,17,2025-10-01,144,2939655.79,finance,0.0,325080.49
7,42,2024-06-01,215,5393984.29,HR,0.0,0.0
8,21,2025-03-01,88,2598249.18,finance,0.0,0.0
9,1,2025-02-01,398,9735823.97,warehouse,1153715.45,0.0
10,47,2024-05-01,400,9573408.19,manufacturing,1324591.18,0.0
11,1,2025-05-01,398,10548638.24,support,0.0,0.0
12,1,2026-01-01,398,13223640.24,warehouse,808448.83,0.0
13,39,2025-12-01,385,13459114.54,finance,0.0,0.0
14,38,2024-08-01,149,2985217.34,manufacturing,385751.0,0.0
15,15,2025-05-01,487,15410825.96,operations,1710437.33,0.0
16,45,2026-04-01,322,8488449.93,finance,0.0,0.0
17,28,2025-08-01,247,4967337.16,support,0.0,0.0
18,4,2026-02-01,159,4706338.75,finance,0.0,0.0
19,40,2025-11-01,105,2246085.22,sales,0.0,299536.33
20,22,2025-11-01,108,2853130.37,warehouse,399158.86,342382.27
21,40,2025-04-01,105,3444206.6,warehouse,442512.76,0.0
22,3,2024-08-01,252,8620760.93,HR,0.0,0.0
23,26,2025-10-01,465,9890124.14,HR,0.0,1856471.1
24,22,2024-04-01,108,2706148.95,finance,0.0,0.0
25,47,2025-08-01,400,11100735.96,manufacturing,994497.67,0.0
26,22,2026-03-01,108,3062179.37,manufacturing,309485.83,0.0
27,13,2024-04-01,415,13066039.44,warehouse,1959501.59,0.0
28,15,2024-07-01,487,10564927.22,HR,0.0,0.0
29,6,2025-01-01,486,10490134.82,HR,0.0,0.0
30,5,2025-05-01,304,9222265.28,HR,0.0,0.0
31,47,2025-11-01,400,13333066.41,sales,0.0,1968673.18
32,28,2025-06-01,247,5554174.62,sales,0.0,0.0
33,43,2026-02-01,275,6815184.97,sales,0.0,0.0
34,14,2024-09-01,152,5271527.94,warehouse,416805.24,0.0
35,11,2024-10-01,169,4110016.86,finance,0.0,423702.72
36,40,2025-06-01,105,3334002.76,manufacturing,304591.98,0.0
37,9,2025-03-01,201,4404518.37,HR,0.0,0.0
38,46,2025-07-01,327,7752351.57,support,0.0,0.0
39,45,2024-10-01,322,7099716.42,HR,0.0,1609079.73
40,18,2025-10-01,271,6860945.34,HR,0.0,1406055.2
41,40,2024-12-01,105,3350324.64,finance,0.0,0.0
42,42,2025-03-01,215,6142454.98,sales,0.0,0.0
43,23,2024-05-01,191,4492251.98,operations,357727.46,0.0
44,29,2026-03-01,172,5665614.86,support,0.0,0.0
45,3,2024-05-01,252,6367697.52,HR,0.0,0.0
46,33,2025-02-01,171,5184459.13,finance,0.0,0.0
47,19,2026-02-01,97,3323953.97,operations,302914.19,0.0
48,47,2025-06-01,400,11059625.52,support,0.0,0.0
49,1,2024-04-01,398,9635222.66,support,0.0,0.0
50,34,2025-09-01,411,9247803.94,manufacturing,557932.82,0.0
51,1,2025-02-01,398,10855801.66,sales,0.0,0.0
52,47,2025-10-01,400,11447665.73,sales,0.0,1161408.2
53,11,2025-01-01,169,5640433.27,HR,0.0,0.0
54,32,2024-05-01,463,13026920.37,support,0.0,0.0
55,13,2024-12-01,415,10198305.2,warehouse,1254485.54,0.0
56,41,2024-06-01,129,4100398.66,sales,0.0,0.0
57,13,2024-04-01,415,12535331.92,warehouse,1752399.79,0.0
58,19,2025-03-01,97,3113700.56,finance,0.0,0.0
59,38,2025-03-01,149,3324302.83,operations,480260.71,0.0
60,35,2025-02-01,307,10040369.01,operations,858526.58,0.0
61,38,2025-06-01,149,3366636.84,operations,332834.85,0.0
62,49,2025-06-01,262,5307367.57,finance,0.0,0.0
63,15,2024-12-01,487,10142376.96,manufacturing,1087141.17,0.0
64,30,2025-06-01,418,13173277.9,finance,0.0,0.0
65,25,2025-11-01,84,2104740.97,finance,0.0,514981.3
66,15,2025-07-01,487,16346251.93,finance,0.0,0.0
67,48,2025-04-01,231,5264961.77,HR,0.0,0.0
68,30,2024-12-01,418,11227410.37,warehouse,1096285.93,0.0
69,49,2024-06-01,262,5500980.07,manufacturing,320305.31,0.0
70,34,2024-05-01,411,11559444.13,support,0.0,0.0
71,28,2026-03-01,247,8368873.84,operations,992359.79,0.0
72,42,2024-12-01,215,6975310.68,finance,0.0,0.0
73,47,2024-09-01,400,11666350.45,manufacturing,1669009.84,0.0
74,13,2025-07-01,415,10483284.46,operations,922359.99,0.0
75,18,2025-08-01,271,6136681.25,support,0.0,0.0
76,2,2025-03-01,254,6819843.87,manufacturing,665901.74,0.0
77,10,2026-03-01,350,9477566.87,finance,0.0,0.0
78,1,2025-11-01,398,11381451.53,operations,1016138.27,1337461.35
79,48,2025-02-01,231,4963826.45,manufacturing,356332.24,0.0
80,43,2024-08-01,275,8475464.33,warehouse,776940.01,0.0
81,49,2024-06-01,262,5515147.52,manufacturing,636651.3,0.0
82,11,2024-11-01,169,3544687.58,warehouse,347843.92,646258.09
83,28,2025-07-01,247,5059706.76,HR,0.0,0.0
84,48,2025-09-01,231,4953115.81,sales,0.0,0.0
85,46,2024-08-01,327,6840952.17,warehouse,825526.23,0.0
86,27,2025-05-01,344,10538672.7,sales,0.0,0.0
87,33,2024-06-01,171,5943096.39,support,0.0,0.0
88,26,2024-06-01,465,16001283.0,HR,0.0,0.0
89,33,2025-07-01,171,5356001.08,support,0.0,0.0
90,17,2025-06-01,144,4824806.5,HR,0.0,0.0
91,50,2025-04-01,497,14690547.36,manufacturing,1724745.2,0.0
92,25,2025-02-01,84,2383897.34,support,0.0,0.0
93,42,2026-02-01,215,5711304.44,support,0.0,0.0
94,4,2025-05-01,159,3561652.04,support,0.0,0.0
95,39,2025-05-01,385,10596559.79,support,0.0,0.0
96,7,2024-08-01,425,8517905.9,warehouse,590771.91,0.0
97,30,2025-01-01,418,10548409.36,sales,0.0,0.0
98,25,2025-08-01,84,2466764.42,finance,0.0,0.0
99,5,2025-06-01,304,10220882.28,HR,0.0,0.0
100,17,2025-01-01,144,3418712.35,HR,0.0,0.0
101,2,2024-06-01,254,8148331.01,warehouse,479287.7,0.0
102,4,2024-11-01,159,4122658.1,HR,0.0,620271.02
103,11,2025-06-01,169,5501529.82,manufacturing,322034.42,0.0
104,23,2026-01-01,191,4923702.15,HR,0.0,0.0
105,31,2024-08-01,31,818576.17,sales,0.0,0.0
106,26,2024-11-01,465,12049029.86,finance,0.0,1832798.08
107,26,2026-03-01,465,13615174.31,warehouse,920835.1,0.0
108,45,2026-03-01,322,7257402.24,warehouse,450445.39,0.0
109,17,2025-05-01,144,3970974.59,sales,0.0,0.0
110,6,2024-10-01,486,11516416.03,support,0.0,1288802.86
111,32,2025-06-01,463,13839060.94,manufacturing,975703.89,0.0
112,25,2026-03-01,84,2352338.16,sales,0.0,0.0
113,17,2025-08-01,144,3581031.8,finance,0.0,0.0
114,11,2026-03-01,169,5353012.12,HR,0.0,0.0
115,22,2024-04-01,108,3204077.45,warehouse,408755.82,0.0
116,30,2025-06-01,418,11698761.8,support,0.0,0.0
117,5,2025-09-01,304,9706077.63,HR,0.0,0.0
118,3,2024-09-01,252,8597675.03,finance,0.0,0.0
119,20,2024-08-01,310,6253527.88,operations,561475.98,0.0
120,50,2025-11-01,497,15702521.18,support,0.0,2830356.69
121,39,2024-10-01,385,13035712.59,operations,1052872.23,1792655.79
122,46,2025-02-01,327,7221627.53,HR,0.0,0.0
123,50,2025-04-01,497,15214722.69,sales,0.0,0.0
124,21,2026-03-01,88,2449657.98,operations,302430.07,0.0
125,2,2024-07-01,254,5118314.33,sales,0.0,0.0
126,3,2025-12-01,252,7460431.03,operations,552335.45,0.0
127,28,2024-12-01,247,8252813.49,manufacturing,731717.1,0.0
128,35,2025-12-01,307,6899451.46,operations,365696.28,0.0
129,19,2026-01-01,97,3263339.24,operations,471994.08,0.0
130,24,2026-03-01,205,6636511.22,support,0.0,0.0
131,16,2025-04-01,405,9855797.56,support,0.0,0.0
132,9,2025-09-01,201,4553539.31,support,0.0,0.0
133,47,2025-03-01,400,8166106.12,finance,0.0,0.0
134,34,2025-12-01,411,14071271.12,HR,0.0,0.0
135,10,2026-03-01,350,9416268.71,support,0.0,0.0
136,26,2025-05-01,465,11187967.05,manufacturing,983611.97,0.0
137,10,2026-03-01,350,7402360.95,manufacturing,679973.57,0.0
138,42,2025-09-01,215,6920167.66,manufacturing,938754.67,0.0
139,5,2024-10-01,304,8347746.63,HR,0.0,1576005.42
