vendor_payment_id,business_id,vendor_name,payment_amount,due_date,payment_date,delay_days,criticality_level,vendor_category,payment_status
1,27,"Khurana, Bhavsar and Goda",636247.87,2024-05-07,,44,low,logistics,overdue
2,9,Dani-Pall,51219.94,2024-04-15,,38,high,machinery,overdue
3,24,Sani-Garde,271243.52,2024-11-11,,0,high,machinery,pending
4,37,Bumb Group,48417.61,2024-12-31,2025-01-04,4,low,electricity,paid
5,29,"Devi, Bhatt and Srinivasan",434811.91,2024-04-12,,0,high,electricity,pending
6,22,Solanki-Brahmbhatt,644694.85,2025-08-13,,0,high,logistics,pending
7,44,Bajaj-Gera,43883.57,2025-11-27,,22,low,logistics,overdue
8,19,"Sheth, Reddy and Handa",135454.99,2025-09-23,,0,medium,software,pending
9,33,"Krishna, Bahri and Rajagopal",559749.2,2025-05-20,2025-06-22,33,critical,packaging,paid
10,46,"Kant, Nayar and Gandhi",477542.87,2024-08-08,,50,critical,software,overdue
11,22,Sharaf-Mand,106124.31,2025-09-30,2025-09-27,0,low,electricity,paid
12,46,"Dube, Puri and Deo",337114.05,2024-07-07,2024-07-06,0,medium,electricity,paid
13,27,"Bobal, Banik and Chandra",648611.7,2025-12-18,,0,medium,packaging,pending
14,32,Gokhale-Natarajan,682804.45,2024-07-30,,47,medium,internet,overdue
15,2,Bawa-Edwin,846832.79,2024-06-12,,0,critical,maintenance,pending
16,6,Krishnan PLC,690144.05,2024-05-30,,23,low,electricity,overdue
17,42,"Batta, Parmer and Sidhu",41991.76,2025-03-20,2025-03-15,0,critical,software,paid
18,15,Bali Ltd,714613.38,2025-03-04,,35,high,packaging,overdue
19,22,Palla-Dash,218998.43,2024-07-19,2024-07-16,0,critical,maintenance,paid
20,32,Shroff-Sharma,809119.41,2025-07-19,,0,critical,electricity,pending
21,15,Lal-Gala,338784.63,2026-02-07,,33,medium,internet,overdue
22,9,Bains-Baral,467650.06,2024-08-29,2024-08-28,0,medium,raw materials,paid
23,13,"Kant, Prabhakar and Mishra",911237.69,2024-08-21,,2,critical,electricity,overdue
24,47,Savant-Varkey,350297.57,2025-06-29,2025-06-26,0,medium,software,paid
25,31,Gola-Chandra,600470.43,2025-01-11,2025-01-24,13,high,software,paid
26,46,Grover Inc,455427.28,2026-02-08,,0,low,software,pending
27,15,"Ganesan, Gandhi and Chanda",798086.3,2025-08-26,,23,critical,logistics,overdue
28,25,"Thaman, Kala and Dewan",899834.53,2026-04-09,,0,critical,packaging,pending
29,36,"Brahmbhatt, Thakur and Upadhyay",684208.48,2025-12-06,2025-12-03,0,medium,packaging,paid
30,42,D’Alia PLC,251138.9,2026-01-25,2026-02-04,10,low,logistics,paid
31,26,Deo-Nayar,349143.29,2024-07-24,,0,critical,machinery,pending
32,49,Reddy-Kar,682250.07,2024-12-06,,0,medium,maintenance,pending
33,18,Dara-Mani,217957.89,2024-10-27,,0,high,logistics,pending
34,5,Devi-Sharma,304789.97,2025-04-28,2025-04-23,0,low,electricity,paid
35,17,Bhagat PLC,65397.43,2024-04-17,,18,critical,software,overdue
36,2,Subramanian-Sawhney,781878.37,2025-12-09,2025-12-24,15,high,internet,paid
37,6,Pant-Prabhu,270160.18,2026-03-06,,0,critical,machinery,pending
38,17,Saha-Atwal,759432.65,2025-08-29,,0,low,software,pending
39,13,Dhar-Lad,767542.94,2025-12-02,2025-11-28,0,critical,machinery,paid
40,18,Singhal Inc,198746.63,2025-08-21,2025-08-17,0,medium,internet,paid
41,20,Balay-Chowdhury,454817.84,2025-09-14,2025-09-26,12,medium,logistics,paid
42,12,"Parikh, Ramaswamy and Madan",361318.21,2024-06-10,,46,critical,machinery,overdue
43,45,"Tara, Garde and Batra",244867.88,2024-05-28,,44,medium,raw materials,overdue
